# Scalar ASCII output created by CarpetIOScalar
# created on lu-laptop. by ludovicarbone on Mar 10 2025 at 11:46:32+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-lu-laptop.-ludovicarbone-2025.03.04-15.23.52-88213
# Simulation ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.10-10.46.30-36528
# Run ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.10-10.46.30-36528
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 1.97870397567749 0 0.245037317276001 0 1.78415393829346 0 0 0 0 0 0 0 0 0 44.9913480322216 97458.181583643 0 97458.181583643 160 355351 2023 353328 0 0 0 0 1.97610807418823 1741603592.38452 266
512 0.375 1388.92618980689 1388.92618980689 3.01455497741699 0.971973896026611 1.21868205070496 0 1.79912400245667 3 244558.008164339 244558.008164339 237704 237704 161518.741029751 161518.741029751 156992 156992 101.343473300872 204571.267006415 7826.83439954426 196744.432606871 186 367588 14260 353328 0 0 0 0 3.00168824195862 1741603593.42037 905
1024 0.75 1491.21598942564 1491.21598942564 3.85318398475647 1.81060290336609 2.0160219669342 0 1.86382937431335 6 262568.89300032 262568.89300032 475408 475408 173414.059712526 173414.059712526 313984 313984 132.813544822374 204219.876287632 8448.35667700026 195771.519610632 284 382012 15724 366288 0 0 0 0 3.8308002948761 1741603594.259 1544
1536 1.125 1509.56849200455 1509.56849200455 4.72546696662903 2.68288588523865 2.85459876060486 0 1.87405824661255 9 265800.347276629 265800.347276629 713112 713112 175548.279034651 175548.279034651 470976 470976 163.56042558994 204857.829517815 9072.793019489 195785.036498326 310 383468 17180 366288 0 0 0 0 4.69588422775269 1741603595.13128 2183
2048 1.5 6915.98479592734 6915.98479592734 2.82338094711304 0.780799865722656 0.880768537521362 0 2.00875091552734 12 1217746.11106008 1217746.11106008 950816 950816 804262.433394241 804262.433394241 627968 627968 211.05599757091 285029.065636611 9499.06420286829 275530.001433742 492 738268 18652 719616 0 0 0 0 2.78568530082703 1741603593.2292 2822
2560 1.875 3833.9621128889 3833.9621128889 3.80316185951233 1.76058077812195 1.78593826293945 0 2.01993441581726 15 675072.688949735 675072.688949735 1188520 1188520 445852.874093817 445852.874093817 784960 784960 254.805665010686 366590.992320511 9855.12961169736 356735.862708813 518 739703 20087 719616 0 0 0 0 3.75626826286316 1741603594.20898 3461
3072 2.25 2919.22505749068 2919.22505749068 4.81729006767273 2.77470898628235 2.75760054588318 0 2.09035277366638 18 514008.498567233 514008.498567233 1426224 1426224 339477.763130057 339477.763130057 941952 941952 279.653799228704 362831.384096519 10374.3791352759 352457.004961243 616 754149 21573 732576 0 0 0 0 4.76083827018738 1741603595.22311 4100
3584 2.625 2569.99988847561 2569.99988847561 5.71962404251099 3.67704296112061 3.62108945846558 0 2.10109567642212 21 452517.965548302 452517.965548302 1663928 1663928 298866.23888264 298866.23888264 1098944 1098944 304.021675339802 359967.381878351 10878.0670919389 349089.314786412 642 755612 23036 732576 0 0 0 0 5.65444564819336 1741603596.12544 4739
4096 3 2334.39024458117 2334.39024458117 6.66905689239502 4.62647581100464 4.50118470191956 0 2.22724723815918 24 411032.517554017 411032.517554017 1901632 1901632 271467.106131324 271467.106131324 1255936 1255936 342.27110032592 427079.605554117 11217.4509672853 415862.154586831 824 1110411 24507 1085904 0 0 0 0 6.59491062164307 1741603597.07487 5378
4608 3.375 2120.66573219006 2120.66573219006 7.77191400527954 5.72933292388916 5.5369713306427 0 2.23833036422729 27 373400.538670004 373400.538670004 2139336 2139336 246613.003428134 246613.003428134 1412928 1412928 378.533198905188 497376.515565719 11500.9661284385 485875.54943728 850 1111815 25911 1085904 0 0 0 0 7.68989491462708 1741603598.17773 6017
5120 3.75 1953.80488162893 2095.03851926037 8.9521758556366 6.90959477424622 6.67315244674683 0 2.31079030036926 30 344020.174505721 344020.174505721 2377040 2377040 227208.693316066 227208.693316066 1569920 1569920 398.416267449545 491191.093357542 11933.1815083236 479257.911849219 948 1126264 27400 1098864 0 0 0 0 8.86101698875427 1741603599.35799 6656
5632 4.125 1853.18417231472 2064.22790996009 10.0558159351349 8.01323485374451 7.73415541648865 0 2.32441234588623 33 326303.17814511 326303.17814511 2614744 2614744 215507.473762987 215507.473762987 1726912 1726912 417.804408615953 485655.844575184 12346.3356376986 473309.508937486 974 1127737 28873 1098864 0 0 0 0 9.95685958862305 1741603600.46163 7295
6144 4.5 1826.09202817624 2042.06228708249 10.9139850139618 8.87140393257141 8.53113222122192 0 2.43974494934082 36 321532.873678226 321532.873678226 2852448 2852448 212356.918286996 212356.918286996 1883904 1883904 450.72024729026 544718.080762154 12656.677782148 532061.402980006 1156 1482550 30358 1452192 0 0 0 0 10.8069777488708 1741603601.3198 7934
6656 4.875 1791.7902987588 2019.07211775562 11.8372540473938 9.79467296600342 9.38931274414062 0 2.45077323913574 39 315493.126797157 315493.126797157 3090152 3090152 208367.957468697 208367.957468697 2040896 2040896 481.22068876182 606137.899641682 12907.9892389609 593229.910402721 1182 1483998 31806 1452192 0 0 0 0 11.7214076519012 1741603602.24307 8573
7168 5.25 1764.1964226262 1998.041823898 12.7556738853455 10.7130928039551 10.268520116806 0 2.51327776908875 42 310634.478847361 310634.478847361 3327856 3327856 205159.055393283 205159.055393283 2197888 2197888 498.5618564019 599729.30458415 13304.7664437059 586424.538140444 1280 1498448 33296 1465152 0 0 0 0 12.6310555934906 1741603603.16149 9212
