# Scalar ASCII output created by CarpetIOScalar
# created on lu-laptop. by ludovicarbone on Mar 10 2025 at 12:09:48+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-lu-laptop.-ludovicarbone-2025.03.04-15.23.52-88213
# Simulation ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.10-11.09.46-39944
# Run ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.10-11.09.46-39944
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 2.0042769908905 0 0.317683219909668 0 1.74426770210266 0 0 0 0 0 0 0 0 0 46.2470580302448 184419.037560607 0 184419.037560607 160 644887 2023 642864 0 0 0 0 2.00186419487 1741604988.3216 266
512 0.25 720.996188428684 720.996188428684 3.32949805259705 1.24827289581299 1.56798028945923 0 1.76618885993958 3 411147.275344581 411147.275344581 513224 513224 296191.643061512 296191.643061512 369728 369728 103.319991321462 372926.696367696 7977.77932989287 364948.917037803 186 657115 14251 642864 0 0 0 0 3.31879234313965 1741604989.64682 905
1024 0.5 704.438380991507 704.438380991507 4.63645219802856 2.55522704124451 2.82475185394287 0 1.83721733093262 6 401705.204051095 401705.204051095 1026448 1026448 289389.548585809 289389.548585809 739456 739456 134.680109101121 368158.013645799 8548.87512195969 359609.13852384 284 676120 15688 660432 0 0 0 0 4.61855316162109 1741604990.95377 1544
1536 0.75 711.244514833666 711.244514833666 5.87738800048828 3.79616284370422 4.0262758731842 0 1.85524010658264 9 405586.394312215 405586.394312215 1539672 1539672 292185.568867135 292185.568867135 1109184 1109184 165.306031701954 365916.785919653 9140.99138048618 356775.794539167 310 677556 17124 660432 0 0 0 0 5.85277795791626 1741604992.19471 2183
2048 1 708.927137597224 708.927137597224 7.15932106971741 5.07809591293335 5.23469305038452 0 1.9743230342865 12 404264.912517997 404264.912517997 2052896 2052896 291233.569699496 291233.569699496 1478912 1478912 213.028177851279 514311.851462656 9553.53440524746 504758.317057408 492 1321876 18580 1303296 0 0 0 0 7.12698721885681 1741604993.47664 2822
2560 1.25 707.831101756219 694.240268205095 8.4386739730835 6.35744881629944 6.45185613632202 0 1.99188494682312 15 403639.899297482 403639.899297482 2566120 2566120 290783.30843347 290783.30843347 1848640 1848640 258.70514673747 665925.670446274 9954.10834051935 655971.562105754 518 1323277 19981 1303296 0 0 0 0 8.39933323860168 1741604994.75599 3461
3072 1.5 691.284954971731 694.010492895379 9.89276504516602 7.81153988838196 7.85528540611267 0 2.07730984687805 18 394204.477478235 394204.477478235 3079344 3079344 283986.004257542 283986.004257542 2218368 2218368 282.702211575288 654326.53875227 10425.1348542894 643901.403897981 616 1342302 21438 1320864 0 0 0 0 9.84516501426697 1741604996.21008 4100
3584 1.75 645.304768904534 685.75789103362 11.8440539836884 9.7628288269043 9.75146985054016 0 2.09823942184448 21 367984.327462512 367984.327462512 3592568 3592568 265096.935108373 265096.935108373 2588096 2588096 304.886188274858 642046.825605388 10834.9287566706 631211.896848717 642 1343742 22878 1320864 0 0 0 0 11.7874102592468 1741604998.16137 4739
4096 2 635.646582726374 678.815074498916 13.4082741737366 11.3270490169525 11.2410287857056 0 2.22534894943237 24 362476.757525734 362476.757525734 4105792 4105792 261129.266375841 261129.266375841 2957824 2957824 342.370090668009 764121.132358044 11135.7948358244 752985.337522219 824 1988052 24324 1963728 0 0 0 0 13.3440310955048 1741604999.72559 5378
4608 2.25 627.271683924986 672.427300488667 14.9942901134491 12.913064956665 12.7529969215393 0 2.24694991111755 27 357700.980789685 357700.980789685 4619016 4619016 257688.783504686 257688.783504686 3327552 3327552 377.46065666631 887546.085974131 11387.6221514116 876158.463822719 850 1989453 25725 1963728 0 0 0 0 14.9204342365265 1741605001.31161 6017
5120 2.5 621.438294411995 666.928655526766 16.5637571811676 14.4825320243835 14.2766828536987 0 2.31723856925964 30 354374.496901446 354374.496901446 5132240 5132240 255292.375240398 255292.375240398 3697280 3697280 397.013769554614 874196.337209864 11798.4796890547 862397.857520809 948 2008477 27181 1981296 0 0 0 0 16.4818365573883 1741605002.88108 6656
5632 2.75 613.970663861652 661.335480652134 18.2057740688324 16.1245489120483 15.8699662685394 0 2.34170484542847 33 350116.088877481 350116.088877481 5645464 5645464 252224.606231379 252224.606231379 4067008 4067008 415.273893630434 860395.705394909 12168.3813182039 848227.324076705 974 2009922 28626 1981296 0 0 0 0 18.1155683994293 1741605004.52309 7295
6144 3 612.668037781595 657.138073522272 19.7090420722961 17.6278169155121 17.3020148277283 0 2.46175956726074 36 349373.26780269 349373.26780269 6158688 6158688 251689.475858793 251689.475858793 4436736 4436736 446.193537037763 964768.888777952 12417.3916466683 952351.497131283 1156 2654241 30081 2624160 0 0 0 0 19.6101408004761 1741605006.02636 7934
6656 3.25 611.7328518123 653.468772841034 21.207221031189 19.1259958744049 18.7323606014252 0 2.48043131828308 39 348839.979042795 348839.979042795 6671912 6671912 251305.293149842 251305.293149842 4806464 4806464 475.986437793759 1072963.13281531 12636.6722033633 1060326.46061194 1182 2655638 31478 2624160 0 0 0 0 21.1003885269165 1741605007.52454 8573
