# Scalar ASCII output created by CarpetIOScalar
# created on lu-laptop. by ludovicarbone on Mar 10 2025 at 10:58:06+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-lu-laptop.-ludovicarbone-2025.03.04-15.23.52-88213
# Simulation ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.10-09.58.04-34881
# Run ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.10-09.58.04-34881
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 2.38930487632751 0 0.667322397232056 0 1.77712774276733 0 0 0 0 0 0 0 0 0 45.2966281288603 52627.7131737159 0 52627.7131737159 160 327271 2023 325248 0 0 0 0 2.38671278953552 1741600686.95508 266
512 0.6 4957.55112850994 4957.55112850994 2.89075398445129 0.435698986053467 1.1045663356781 0 1.78974580764771 3 360322.160540293 360322.160540293 156992 156992 156071.054045683 156071.054045683 68000 68000 101.892989868675 189962.124210772 7871.51339315151 182090.61081762 186 339505 14257 325248 0 0 0 0 2.88005137443542 1741600687.45653 905
1024 1.2 4683.33284568522 4683.33284568522 3.37747502326965 0.922420024871826 1.55318570137024 0 1.84789085388184 6 340391.569495284 340391.569495284 313984 313984 147438.256253053 147438.256253053 136000 136000 133.750714358155 189292.342971374 8478.91823644236 180813.424734932 284 353012 15668 337344 0 0 0 0 3.35810589790344 1741600687.94325 1544
1536 1.8 4761.56512525543 4761.56512525543 3.81595206260681 1.36089706420898 1.96143269538879 0 1.85647797584534 9 346077.607474121 346077.607474121 470976 470976 149901.124313597 149901.124313597 204000 204000 165.002321037517 191020.922327394 9117.18707222985 181903.735255164 310 354447 17103 337344 0 0 0 0 3.78888869285583 1741600688.38173 2183
2048 2.4 4669.99245868903 4669.99245868903 4.30516505241394 1.85011005401611 2.3934497833252 0 1.96864461898804 12 339421.970404865 339421.970404865 627968 627968 147018.281106877 147018.281106877 272000 272000 214.467084418609 233456.837017752 9590.86339711024 223865.973620642 492 681127 18535 662592 0 0 0 0 4.26974296569824 1741600688.87094 2822
2560 3 4481.07495585796 4481.07495585796 4.8651909828186 2.41013598442078 2.89063358306885 0 1.97670841217041 15 325691.16642132 325691.16642132 784960 784960 141070.878239973 141070.878239973 340000 340000 260.311500726766 345577.191165209 10012.3703684206 335564.820796789 518 682555 19963 662592 0 0 0 0 4.82213473320007 1741600689.43097 3461
3072 3.6 4544.61453004387 4544.61453004387 5.30678200721741 2.85172700881958 3.29982566833496 0 2.03276896476746 18 330309.316805855 330309.316805855 941952 941952 143071.198168048 143071.198168048 408000 408000 287.001759251395 342983.046847597 10539.3423813984 332443.704466199 616 696041 21353 674688 0 0 0 0 5.25592398643494 1741600689.87256 4100
3584 4.2 4621.86300986497 4621.86300986497 5.72646307945251 3.27140808105469 3.68812561035156 0 2.04037666320801 21 335923.850761445 335923.850761445 1098944 1098944 145503.094755008 145503.094755008 476000 476000 313.000182585763 342080.254408288 11081.0895361515 330999.164872137 642 697476 22788 674688 0 0 0 0 5.66804885864258 1741600690.29224 4739
4096 4.8 4086.63765252245 4086.63765252245 6.68347001075745 4.22841501235962 4.57996392250061 0 2.15871906280518 24 297022.878863335 297022.878863335 1255936 1255936 128653.40757941 128653.40757941 544000 544000 352.744403328488 375247.784832474 11420.9320021073 363826.852830367 824 1024161 24225 999936 0 0 0 0 6.61747789382935 1741600691.24925 5378
4608 5.4 4066.95922220616 4066.95922220616 7.2350389957428 4.77998399734497 5.06934189796448 0 2.16802334785461 27 295592.621394717 295592.621394717 1412928 1412928 128033.901439824 128033.901439824 612000 612000 390.636345621864 473472.952912901 11757.4152110751 461715.537701825 850 1025600 25664 999936 0 0 0 0 7.15962290763855 1741600691.80082 6017
