# Scalar ASCII output created by CarpetIOScalar
# created on lu-laptop. by ludovicarbone on Mar 10 2025 at 13:59:27+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-lu-laptop.-ludovicarbone-2025.03.04-15.23.52-88213
# Simulation ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.10-12.59.24-40343
# Run ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.10-12.59.24-40343
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
7680 7.5 3159.64562460083 3451.55607158078 10.7212970256805 8.54526209831238 8.14652895927429 0 2.58147621154785 45 420106.482246926 420106.482246926 3589920 3589920 206261.666373942 206261.666373942 1762560 1762560 505.676614910513 694989.977290506 13123.5121488681 681866.465141638 1306 1789639 33991 1755648 0 0 0 0 10.5991868972778 1741611576.31228 9851
8192 8 3081.32651058545 3421.93840628849 11.5226588249207 9.34662389755249 8.88130807876587 0 2.70994091033936 48 409693.172847442 409693.172847442 3829248 3829248 201148.994611018 201148.994611018 1880064 1880064 532.303406522902 721197.289974896 13341.2800444243 707856.009930472 1488 2216168 35432 2180736 0 0 0 0 11.3916478157043 1741611577.11364 10490
8704 8.5 3019.31618749718 3391.31005196772 12.3107800483704 10.1347451210022 9.58528423309326 0 2.72814679145813 51 401448.280289625 401448.280289625 4068576 4068576 197100.960719816 197100.960719816 1997568 1997568 554.027634728355 813565.365821177 13440.8571807972 800124.50864038 1514 2217569 36833 2180736 0 0 0 0 12.1730110645294 1741611577.90177 11129
9216 9 2997.69786301103 3367.17570681717 12.9843289852142 10.8082940578461 10.2224340438843 0 2.78620219230652 54 398573.907865947 398573.907865947 4307904 4307904 195689.71649736 195689.71649736 2115072 2115072 569.174437621086 805241.708045949 13785.1007401702 791456.607305779 1612 2232826 38266 2194560 0 0 0 0 12.8380198478699 1741611578.57531 11768
9728 9.5 2991.98566935839 3346.83405343812 13.6065709590912 11.430536031723 10.8130571842194 0 2.79600787162781 57 397814.414597892 397814.414597892 4547232 4547232 195316.824495716 195316.824495716 2232576 2232576 584.926415863109 799718.268832414 14127.011062192 785591.257770222 1638 2234225 39665 2194560 0 0 0 0 13.4526517391205 1741611579.19756 12407
10240 10 2973.86247773147 3326.53932056621 14.2815039157867 12.1054689884186 11.4247524738312 0 2.91146278381348 60 395404.755039177 395404.755039177 4786560 4786560 194133.742546311 194133.742546311 2350080 2350080 608.383345668416 822442.570779507 14319.0616443684 808123.509135139 1820 2660753 41105 2619648 0 0 0 0 14.1201665401459 1741611579.87249 13046
10752 10.5 2941.40373940906 3304.44815354504 15.0270419120789 12.8510069847107 12.1080570220947 0 2.92277526855469 63 391089.041191829 391089.041191829 5025888 5025888 192014.836108624 192014.836108624 2467584 2467584 631.041293266172 911960.184903346 14508.4683875257 897451.71651582 1846 2662206 42558 2619648 0 0 0 0 14.8579695224762 1741611580.61803 13685
11264 11 2921.75217768859 3285.02505649508 15.7295458316803 13.5535109043121 12.7696690559387 0 2.98728847503662 66 388476.169545475 388476.169545475 5265216 5265216 190731.982159511 190731.982159511 2585088 2585088 643.270022456582 901617.601743363 14813.1166673366 886804.485076027 1944 2677516 44044 2633472 0 0 0 0 15.5515966415405 1741611581.32053 14324
11776 11.5 2890.93627417242 3264.47957273312 16.4966549873352 14.320620059967 13.5009665489197 0 2.99995040893555 69 384378.887013966 384378.887013966 5504544 5504544 188720.319977976 188720.319977976 2702592 2702592 656.276525552121 894204.472550838 15117.0593774941 879087.413173344 1970 2678966 45494 2633472 0 0 0 0 16.3126833438873 1741611582.08764 14963
12288 12 2841.98578579954 3241.02270778829 17.3766739368439 15.2006390094757 14.3050830364227 0 3.12625455856323 72 377870.430079907 377870.430079907 5743872 5743872 185524.832096994 185524.832096994 2820096 2820096 673.917870936584 909724.989619183 15230.8694473556 894494.120171827 2152 3105544 46984 3058560 0 0 0 0 17.1848964691162 1741611582.96766 15602
12800 12.5 2724.74401454027 3201.85339894818 18.6913478374481 16.51531291008 15.5580840110779 0 3.1363480091095 75 362281.964173274 362281.964173274 5983200 5983200 177871.289269189 177871.289269189 2937600 2937600 693.845178852523 991550.080734532 15392.2563411681 976157.824393364 2178 3106996 48436 3058560 0 0 0 0 18.4892716407776 1741611584.28233 16241
13312 13 2714.48397722528 3181.5557557223 19.4168808460236 17.2408459186554 16.2486598491669 0 3.19313454627991 78 360917.789611874 360917.789611874 6222528 6222528 177201.514033267 177201.514033267 3055104 3055104 705.758847699835 982716.168818079 15692.7184212614 967023.450396817 2276 3122301 49917 3072384 0 0 0 0 19.2087876796722 1741611585.00787 16880
13824 13.5 2709.10875922797 3163.29968462723 20.1155140399933 17.9394791126251 16.9142279624939 0 3.20441102981567 81 360203.100626951 360203.100626951 6461856 6461856 176850.619802402 176850.619802402 3172608 3172608 717.836502070764 975715.048384518 15980.7648430976 959734.28354142 2302 3123750 51366 3072384 0 0 0 0 19.8999578952789 1741611585.7065 17519
14336 14 2688.23640750878 3143.33975490054 20.9243860244751 18.7483510971069 17.6462383270264 0 3.33491849899292 84 357427.912742367 357427.912742367 6701184 6701184 175488.072682173 175488.072682173 3290112 3290112 732.730865625546 988083.606641906 16061.509382563 972022.097259343 2484 3550324 52852 3497472 0 0 0 0 20.7003057003021 1741611586.51537 18158
14848 14.5 2680.36302500071 3126.14149886463 21.6510088443756 19.4749739170074 18.308892250061 0 3.34489774703979 87 356381.067804094 356381.067804094 6940512 6940512 174974.098272046 174974.098272046 3407616 3407616 749.824229430855 1062669.09001371 16184.9530001492 1046484.13701356 2510 3551773 54301 3497472 0 0 0 0 21.4197309017181 1741611587.24199 18797
15360 15 2598.62190408722 3094.97483917216 22.9562799930573 20.7802450656891 19.5749619007111 0 3.40717816352844 90 345512.768367437 345512.768367437 7179840 7179840 169638.037898814 169638.037898814 3525120 3525120 759.467145611889 1052321.87650558 16437.0811861227 1035884.79531945 2608 3567076 55780 3511296 0 0 0 0 22.7093176841736 1741611588.54727 19436
15872 15.5 2577.69117023047 3074.61783238082 23.8233139514923 21.6472790241241 20.4092087745667 0 3.41706824302673 93 342729.817993843 342729.817993843 7419168 7419168 168271.679592645 168271.679592645 3642624 3642624 770.333619999448 1045168.44534157 16701.0086230983 1028467.43671847 2634 3568523 57227 3511296 0 0 0 0 23.5680756568909 1741611589.4143 20075
