# Scalar ASCII output created by CarpetIOScalar
# created on lu-laptop. by ludovicarbone on Mar 06 2025 at 18:37:53+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-lu-laptop.-ludovicarbone-2025.03.04-15.23.52-88213
# Simulation ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.06-17.37.51-24286
# Run ID: run-TOV_example-lu-laptop.-ludovicarbone-2025.03.06-17.37.51-24286
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 1.87416100502014 0 0.187340259552002 0 1.73969793319702 0 0 0 0 0 0 0 0 0 46.2408351388593 67611.214947649 0 67611.214947649 160 427111 2023 425088 0 0 0 0 1.87169814109802 1741282673.90479 266
512 0.5 3146.75987500901 3146.75987500901 2.51404500007629 0.572016954421997 0.761007785797119 0 1.75567030906677 3 418393.192981198 418393.192981198 239328 239328 205420.484640588 205420.484640588 117504 117504 103.819815413808 250505.805822594 8019.22508289732 242486.580739697 186 439343 14255 425088 0 0 0 0 2.50244617462158 1741282674.54468 905
1024 1 3002.13166438384 3002.13166438384 3.1411759853363 1.19914793968201 1.35110306739807 0 1.8168580532074 6 399163.426096476 399163.426096476 478656 478656 195979.155050977 195979.155050977 235008 235008 136.30729651004 249007.733446633 8642.10605332101 240365.627393312 284 454573 15661 438912 0 0 0 0 3.123131275177 1741282675.17181 1544
1536 1.5 2826.07709272401 2826.07709272401 3.85280394554138 1.91077589988708 2.02906155586243 0 1.82648849487305 9 375755.210248585 375755.210248585 717984 717984 184486.312613023 184486.312613023 352512 352512 167.786855057894 249905.360855395 9239.79181235481 240665.56904304 310 455963 17051 438912 0 0 0 0 3.82813453674316 1741282675.88344 2183
2048 2 2780.49928206394 2780.49928206394 4.53149104118347 2.58946299552917 2.64574503898621 0 1.93788909912109 12 369695.184543221 369695.184543221 957312 957312 181510.993133134 181510.993133134 470016 470016 217.420585551962 302928.920084881 9697.48840972859 293231.431675153 492 882475 18475 864000 0 0 0 0 4.49918699264526 1741282676.56212 2822
2560 2.5 2721.80936659681 2721.80936659681 5.24865198135376 3.30662393569946 3.30389094352722 0 1.94723892211914 15 361891.773382712 361891.773382712 1196640 1196640 177679.71545144 177679.71545144 587520 587520 264.299823989916 454382.817637885 10112.2963785714 444270.521259314 518 883865 19865 864000 0 0 0 0 5.20972561836243 1741282677.27928 3461
3072 3 2735.88815459675 2735.88815459675 5.88955783843994 3.94752979278564 3.90978574752808 0 2.00842189788818 18 363763.689035184 363763.689035184 1435968 1435968 178598.778732076 178598.778732076 705024 705024 290.942580029351 449692.166127032 10659.812862742 439032.35326429 616 899121 21297 877824 0 0 0 0 5.84114766120911 1741282677.92019 4100
3584 3.5 2705.2728634181 2705.2728634181 6.59959888458252 4.65757083892822 4.58426904678345 0 2.01865601539612 21 359693.079920071 359693.079920071 1675296 1675296 176600.212523934 176600.212523934 822528 822528 316.57348987437 446733.325291917 11159.9598131104 435573.365478807 642 900515 22691 877824 0 0 0 0 6.54655051231384 1741282678.63023 4739
4096 4 2698.1045806058 2698.1045806058 7.27910804748535 5.33708000183105 5.19902396202087 0 2.13409423828125 24 358739.985037348 358739.985037348 1914624 1914624 176132.267021947 176132.267021947 940032 940032 356.716348721217 488340.835400977 11498.5736236039 476842.261777373 824 1327021 24109 1302912 0 0 0 0 7.21852660179138 1741282679.30974 5378
4608 4.5 2701.42554168676 2701.42554168676 7.93886184692383 5.99683380126953 5.79728531837463 0 2.1440806388855 27 359181.540022671 359181.540022671 2153952 2153952 176349.059361312 176349.059361312 1057536 1057536 395.036081467105 620204.313174741 11815.1276233595 608389.185551382 850 1328416 25504 1302912 0 0 0 0 7.87167692184448 1741282679.96949 6017
5120 5 2692.46085360714 2700.95215278155 8.62736201286316 6.68533396720886 6.44932651519775 0 2.2049548625946 30 357989.595095606 357989.595095606 2393280 2393280 175763.844523474 175763.844523474 1175040 1175040 416.889440495009 612863.289616164 12278.0368036537 600585.252812511 948 1343671 26935 1316736 0 0 0 0 8.55071806907654 1741282680.65799 6656
